Series,Product Name,PureQty,ImpureQty,FinalQty
iPhone 13 Pro Max,Lightning to USB Cable  1m ,1,0,1
iPhone 13 Pro Max,USB-C to Lightning Cable  1m ,2,0,2
iPhone 13 Series,Lightning to USB Cable  1m ,8,0,8
iPhone 13 Series,Lightning to USB Cable (1m),1,0,1
iPhone 13 Series,USB-C to Lightning Cable  1m ,16,0,16
iPhone 13 Series,USB-C to Lightning Cable  2 m ,1,0,1
iPhone 14 Pro Max,Apple USB-C to Lightning Cable (1 m),1,0,1
iPhone 14 Series,Lightning to USB Cable  1m ,3,0,3
iPhone 14 Series,Lightning to USB Cable (1m),1,0,1
iPhone 14 Series,USB-C to Lightning Cable  1m ,6,0,6
iPhone 15 Series,Apple USB-C to Lightning Cable (1 m),8,0,8
iPhone 15 Series,Lightning to USB Cable  1m ,27,0,27
iPhone 15 Series,Lightning to USB Cable (1m),12,0,12
iPhone 15 Series,USB-C to Lightning Cable  1m ,90,0,90
iPhone 15 Series,USB-C to Lightning Cable (2m),1,0,1
iPhone 16 Series,Lightning to USB Cable  1m ,36,0,36
iPhone 16 Series,USB-C to Lightning Cable  1m ,130,0,130
