SubSeries,Product Name,PureQty,ImpureQty,FinalQty
iPhone 15 Base,Apple USB-C to Lightning Cable (1 m),5.0,0,5.0
iPhone 15 Base,Lightning to USB Cable  1m ,14.0,0,14.0
iPhone 15 Base,Lightning to USB Cable (1m),10.0,0,10.0
iPhone 15 Base,USB-C to Lightning Cable  1m ,60.0,0,60.0
iPhone 15 Plus,Apple USB-C to Lightning Cable (1 m),1.0,0,1.0
iPhone 15 Plus,Lightning to USB Cable  1m ,6.0,0,6.0
iPhone 15 Plus,Lightning to USB Cable (1m),1.0,0,1.0
iPhone 15 Plus,USB-C to Lightning Cable  1m ,15.0,0,15.0
iPhone 15 Pro,Apple USB-C to Lightning Cable (1 m),2.0,0,2.0
iPhone 15 Pro,Lightning to USB Cable  1m ,2.0,0,2.0
iPhone 15 Pro,USB-C to Lightning Cable  1m ,6.0,0,6.0
iPhone 15 Pro Max,Lightning to USB Cable  1m ,5.0,0,5.0
iPhone 15 Pro Max,Lightning to USB Cable (1m),1.0,0,1.0
iPhone 15 Pro Max,USB-C to Lightning Cable  1m ,9.0,0,9.0
iPhone 15 Pro Max,USB-C to Lightning Cable (2m),1.0,0,1.0
iPhone 16 Base,Lightning to USB Cable  1m ,10.5,0,10.5
iPhone 16 Base,USB-C to Lightning Cable  1m ,46.0,0,46.0
iPhone 16 Plus,Lightning to USB Cable  1m ,9.0,0,9.0
iPhone 16 Plus,USB-C to Lightning Cable  1m ,25.0,0,25.0
iPhone 16 Pro,Lightning to USB Cable  1m ,10.0,0,10.0
iPhone 16 Pro,USB-C to Lightning Cable  1m ,23.0,0,23.0
iPhone 16 Pro Max,Lightning to USB Cable  1m ,7.0,0,7.0
iPhone 16 Pro Max,USB-C to Lightning Cable  1m ,37.0,0,37.0
